ISIC,,Count of corresponding records in aggregatedSector_v3 (typically 1 per country from Exiobase),Exio Sector name,NACE name,Mapping,Use for BCC?,Simplified sector - to be used in product,,Slimmed,Benchmark mapping sector name,Name + benchmark (filter)
3821,3821,45,Recycling of waste and scrap,Treatment and disposal of non-hazardous waste,,,,,,,
3832,3832,19,Recycling of bottles by direct reuse,Recovery of sorted materials,,,,,,,
39,39,45,Landfill of waste: Inert/metal/hazardous,Remediation activities and other waste management services,,,,,,,
41,41,49,Construction,Construction of buildings,,x,Construction and civil engineering,,,Construction of buildings,1
411,411,49,Research and development,Development of building projects,,,,,,,
42,42,49,Construction,Civil engineering,,,,,,,
43,43,49,Construction,Specialised construction activities,,,,,,,
431,431,49,Construction,Demolition and site preparation,,,,,,,
432,432,49,Construction,"Electrical, plumbing and other construction installation activities",,,,,,,
433,433,49,Construction,Building completion and finishing,,,,,,,
439,439,49,Construction,Other specialised construction activities,,,,,,,
45,45,49,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Wholesale and retail trade and repair of motor vehicles and motorcycles,,x,Motor vehicles sale and repair,,,,1
454,454,49,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries","Sale, maintenance and repair of motorcycles and related parts and accessories",,,,,,,
46,46,49,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Wholesale trade, except of motor vehicles and motorcycles",,x,Retail and wholesale,,,Retail sale in non-specialised stores,1
4611,4611,49,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",,,,,,,
4612,4612,49,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Agents involved in the sale of fuels, ores, metals and industrial chemicals",,,,,,,
4613,4613,49,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",Agents involved in the sale of timber and building materials,,,,,,,
4614,4614,49,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Agents involved in the sale of machinery, industrial equipment, ships and aircraft",,,,,,,
4615,4615,49,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Agents involved in the sale of furniture, household goods, hardware and ironmongery",,,,,,,
4616,4616,49,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,,,,,
4617,4617,49,"Wholesale trade and commission trade, except of motor vehicles and motorcycles","Agents involved in the sale of food, beverages and tobacco",,,,,,,
4618,4618,49,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",Agents specialised in the sale of other particular products,,,,,,,
4619,4619,49,"Wholesale trade and commission trade, except of motor vehicles and motorcycles",Agents involved in the sale of a variety of goods,,,,,,,
47,47,49,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods","Retail trade, except of motor vehicles and motorcycles",,,,,,,
491,491,49,Transport via railways,"Passenger rail transport, interurban",,x,Railway transport,,,,1
493,493,49,Other land transport,Other passenger land transport,,x,Land transport,,,Other passenger land transport,1
495,495,49,Transport via pipelines,Transport via pipeline,,,,,,,
50,50,48,Sea and coastal water transport,Water transport,,x,Water transport,,,,1
501,501,48,Inland water transport,Sea and coastal passenger water transport,,,,,,,
502,502,48,Sea and coastal water transport,Sea and coastal freight water transport,,,,,,,
503,503,48,Inland water transport,Inland passenger water transport,,,,,,,
504,504,48,Sea and coastal water transport,Inland freight water transport,,,,,,,
51,51,49,Air transport,Air transport,,x,Air transport,,,,1
511,511,49,Air transport,Passenger air transport,,,,,,,
52,52,49,Supporting and auxiliary transport activities; activities of travel agencies,Warehousing and support activities for transportation,,x,Warehousing and support activities for transportation,,,,1
521,521,49,Supporting and auxiliary transport activities; activities of travel agencies,Warehousing and storage,,,,,,,
522,522,49,Supporting and auxiliary transport activities; activities of travel agencies,Support activities for transportation,,,,,,,
5222,5222,48,Sea and coastal water transport,Service activities incidental to water transportation,Wrong mapping,,,,,,
5223,5223,49,Air transport,Service activities incidental to air transportation,Wrong mapping,,,,,,
5229,5229,49,Supporting and auxiliary transport activities; activities of travel agencies,Other transportation support activities,,,,,,Other transportation support activities,1
53,53,49,Post and telecommunications,Postal and courier activities,Wrong mapping ,,,,,,
531,531,49,Post and telecommunications,Postal activities under universal service obligation,,x,Postal services,,,,1
559,559,49,Hotels and restaurants,Other accommodation,,x,Hotels and similar accommodation,,,Hotels and similar accommodation,1
56,56,49,Hotels and restaurants,Food and beverage service activities,,x,Restaurants,,,Food and beverage service activities,1
561,561,49,Hotels and restaurants,Restaurants and mobile food service activities,,,,,,,
5610,5610,49,Hotels and restaurants,Restaurants and mobile food service activities,,,,,,,
562,562,49,Hotels and restaurants,Event catering and other food service activities,,,,,,,
563,563,49,Hotels and restaurants,Beverage serving activities,,,,,,,
58,58,49,"Publishing, printing and reproduction of recorded media",Publishing activities,,,,,,Publishing activities,1
581,581,49,"Publishing, printing and reproduction of recorded media","Publishing of books, periodicals and other publishing activities",,x,Publishing services,,,,1
582,582,49,"Publishing, printing and reproduction of recorded media",Software publishing,Wrong mapping ,,,,,,
59,59,49,"Publishing, printing and reproduction of recorded media","Motion picture, video and television programme production, sound recording and music publishing activities",,x,Video and movie production,,,,1
591,591,49,"Publishing, printing and reproduction of recorded media","Motion picture, video and television programme activities",,,,,,,
592,592,49,"Publishing, printing and reproduction of recorded media",Sound recording and music publishing activities,,,,,,,
60,60,48,"Recreational, cultural and sporting activities",Programming and broadcasting activities,Wrong mapping,,,,,Programming and broadcasting activities,1
601,601,48,"Recreational, cultural and sporting activities",Radio broadcasting,,,,,,,
602,602,48,"Recreational, cultural and sporting activities",Television programming and broadcasting activities,Wrong mappin g,,,,,,
61,61,49,Post and telecommunications,Telecommunications,,x,Telecommunication,,,Telecommunications,1
611,611,49,Post and telecommunications,Wired telecommunications activities,,,,,,,
612,612,49,Post and telecommunications,Wireless telecommunications activities,,,,,,,
613,613,49,Post and telecommunications,Satellite telecommunications activities,,,,,,,
619,619,49,Post and telecommunications,Other telecommunications activities,,,,,,,
62,62,49,Computer and related activities,"Computer programming, consultancy and related activities",,x,"Information technology (IT), software and computer related activities",,,Other information technology and computer service activities,1
620,620,49,Computer and related activities,"Computer programming, consultancy and related activities",,,,,,,
63,63,49,Computer and related activities,Information service activities,,,,,,,
631,631,49,Computer and related activities,"Data processing, hosting and related activities; web portals",,,,,,,
639,639,49,Computer and related activities,Other information service activities,,,,,,,
64,64,49,"Financial intermediation, except insurance and pension funding","Financial service activities, except insurance and pension funding",,x,"Financial actor, not insurance and pension",,,"Financial service activities, except insurance and pension funding",1
641,641,49,"Financial intermediation, except insurance and pension funding",Monetary intermediation,,,,,,,
642,642,49,"Financial intermediation, except insurance and pension funding",Activities of holding companies,,,,,,,
643,643,49,"Financial intermediation, except insurance and pension funding","Trusts, funds and similar financial entities",,,,,,,
6491,6491,49,Renting of machinery and equipment without operator and of personal and household goods,Financial leasing,Wrong mapping,,,,,,
65,65,49,"Insurance and pension funding, except compulsory social security","Insurance, reinsurance and pension funding, except compulsory social security",,x,Insurance and pension funding ,,,"Insurance, reinsurance and pension funding, except compulsory social security",1
651,651,49,"Insurance and pension funding, except compulsory social security",Insurance,,,,,,,
652,652,49,"Insurance and pension funding, except compulsory social security",Reinsurance,,,,,,,
653,653,49,"Insurance and pension funding, except compulsory social security",Pension funding,,,,,,,
66,66,49,Activities auxiliary to financial intermediation,Activities auxiliary to financial services and insurance activities,,x,Activities auxiliary to financial intermediation,,,,1
661,661,49,Activities auxiliary to financial intermediation,"Activities auxiliary to financial services, except insurance and pension funding",,,,,,,
662,662,49,Activities auxiliary to financial intermediation,Activities auxiliary to insurance and pension funding,,,,,,,
663,663,49,"Financial intermediation, except insurance and pension funding",Fund management activities,,,,,,,
68,68,49,Real estate activities,Real estate activities,,x,Real estate activities,,,Real estate activities,1
681,681,49,Real estate activities,Buying and selling of own real estate,,,,,,,
682,682,49,Real estate activities,Renting and operating of own or leased real estate,,,,,,,
683,683,49,Real estate activities,Real estate activities on a fee or contract basis,,,,,,,
69,69,49,Other business activities,Legal and accounting activities,,x,"Other business activities (consultancy, legal, accounting services, advertising, employment activities)",,,,1
691,691,49,Other business activities,Legal activities,,,,,,Legal activities,1
692,692,49,Other business activities,"Accounting, bookkeeping and auditing activities; tax consultancy",,,,,,"Accounting, bookkeeping and auditing activities; tax consultancy",1
70,70,48,Other service activities,Activities of head offices; management consultancy activities,,,,,,,
701,701,48,Other service activities,Activities of head offices,,,,,,,
702,702,48,Other service activities,Management consultancy activities,,,,,,Business and other management consultancy activities,1
71,71,49,Research and development,Architectural and engineering activities; technical testing and analysis,,,,,,,
711,711,49,Research and development,Architectural and engineering activities and related technical consultancy,,,,,,,
712,712,49,Research and development,Technical testing and analysis,,,,,,,
72,72,49,Research and development,Scientific research and development,,x,Research and development,,,Scientific research and development,1
721,721,49,Research and development,Research and experimental development on natural sciences and engineering,,,,,,,
722,722,49,Research and development,Research and experimental development on social sciences and humanities,,,,,,,
73,73,49,Other business activities,Advertising and market research,,,,,,Advertising and market research,1
731,731,49,Other business activities,Advertising,,,,,,,
732,732,49,Other business activities,Market research and public opinion polling,,,,,,,
74,74,49,Other business activities,"Other professional, scientific and technical activities",,,,,,,
741,741,49,Other business activities,Specialised design activities,,,,,,,
742,742,49,Other business activities,Photographic activities,,,,,,,
743,743,49,Other business activities,Translation and interpretation activities,,,,,,,
749,749,49,Other business activities,"Other professional, scientific and technical activities n.e.c.",,,,,,,
75,75,49,Health and social work,Veterinary activities,,,,,,,
750,750,49,Health and social work,Veterinary activities,,,,,,,
77,77,49,Renting of machinery and equipment without operator and of personal and household goods,Rental and leasing activities,,,,,,,
771,771,49,Renting of machinery and equipment without operator and of personal and household goods,Renting and leasing of motor vehicles,Wrong mapping,,,,,,
772,772,49,Renting of machinery and equipment without operator and of personal and household goods,Renting and leasing of personal and household goods,,,,,,,
773,773,49,Renting of machinery and equipment without operator and of personal and household goods,"Renting and leasing of other machinery, equipment and tangible goods",,x,Machinery and equipment rental,,,,1
7739,7739,49,Renting of machinery and equipment without operator and of personal and household goods,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,,,,
78,78,49,Other business activities,Employment activities,,,,,,,
781,781,49,Other business activities,Activities of employment placement agencies,,,,,,,
782,782,49,Other business activities,Temporary employment agency activities,,,,,,,
783,783,49,Other business activities,Other human resources provision,,,,,,,
79,79,49,Air transport,"Travel agency, tour operator and other reservation service and related activities",Wrong mapping!!!,,,,,"Travel agency, tour operator and other reservation service and related activities",1
80,80,49,Public administration and defence; compulsory social security,Security and investigation activities,,,,,,,
801,801,49,Public administration and defence; compulsory social security,Private security activities,,,,,,,
802,802,49,Public administration and defence; compulsory social security,Security systems service activities,,,,,,,
803,803,49,Public administration and defence; compulsory social security,Investigation activities,,,,,,,
81,81,48,Other service activities,Services to buildings and landscape activities,,x,Building services,,,,1
811,811,48,Other service activities,Combined facilities support activities,,,,,,,
812,812,48,Other service activities,Cleaning activities,,,,,,,
813,813,48,Other service activities,Landscape service activities,,,,,,,
82,82,49,Other business activities,"Office administrative, office support and other business support activities",,,,,,,
821,821,49,Other business activities,Office administrative and support activities,,,,,,,
822,822,49,Other business activities,Activities of call centres,,,,,,,
823,823,49,Other business activities,Organisation of conventions and trade shows,,,,,,,
829,829,49,Other business activities,Business support service activities n.e.c.,,,,,,,
84,84,49,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,,x,Public administration and defence; compulsory social security,,,,1
841,841,49,Public administration and defence; compulsory social security,Administration of the State and the economic and social policy of the community,,,,,,,
842,842,49,Public administration and defence; compulsory social security,Provision of services to the community as a whole,,,,,,,
843,843,49,Public administration and defence; compulsory social security,Compulsory social security activities,,,,,,,
85,85,49,Education,Education,,x,Education,,,,1
851,851,49,Education,Pre-primary education,,,,,,,
852,852,49,Education,Primary education,,,,,,,
853,853,49,Education,Secondary education,,,,,,,
854,854,49,Education,Higher education,,,,,,,
855,855,49,Education,Other education,,,,,,,
856,856,49,Education,Educational support activities,,,,,,,
86,86,49,Health and social work,Human health activities,,x,Health and social work ,,,,1
861,861,49,Health and social work,Hospital activities,,,,,,,
862,862,49,Health and social work,Medical and dental practice activities,,,,,,,
869,869,49,Health and social work,Other human health activities,,,,,,,
87,87,49,Health and social work,Residential care activities,,,,,,,
871,871,49,Health and social work,Residential nursing care activities,,,,,,,
872,872,49,Health and social work,"Residential care activities for mental retardation, mental health and substance abuse",,,,,,,
873,873,49,Health and social work,Residential care activities for the elderly and disabled,,,,,,,
879,879,49,Health and social work,Other residential care activities,,,,,,,
88,88,49,Health and social work,Social work activities without accommodation,,,,,,,
881,881,49,Health and social work,Social work activities without accommodation for the elderly and disabled,,,,,,,
889,889,49,Health and social work,Other social work activities without accommodation,,,,,,,
90,90,48,"Recreational, cultural and sporting activities","Creative, arts and entertainment activities",,x,"Creative, arts and entertainment activities",,,Artistic creation,1
900,900,48,"Recreational, cultural and sporting activities","Creative, arts and entertainment activities",,,,,,,
91,91,48,"Recreational, cultural and sporting activities","Libraries, archives, museums and other cultural activities",,,,,,,
910,910,48,"Recreational, cultural and sporting activities","Libraries, archives, museums and other cultural activities",,,,,,,
92,92,48,"Recreational, cultural and sporting activities",Gambling and betting activities,,,,,,,
920,920,48,"Recreational, cultural and sporting activities",Gambling and betting activities,,,,,,,
93,93,48,"Recreational, cultural and sporting activities",Sports activities and amusement and recreation activities,,,,,,,
931,931,48,"Recreational, cultural and sporting activities",Sports activities,,,,,,,
932,932,48,"Recreational, cultural and sporting activities",Amusement and recreation activities,,,,,,,
94,94,48,Activities of membership organisation n.e.c.,Activities of membership organisations,,x,Activities of membership organisations,,,Activities of membership organisations,1
941,941,48,Activities of membership organisation n.e.c.,"Activities of business, employers and professional membership organisations",,,,,,,
942,942,49,Other business activities,Activities of trade unions,,,,,,,
949,949,48,Activities of membership organisation n.e.c.,Activities of other membership organisations,,,,,,,
95,95,49,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",Repair of computers and personal and household goods,,,,,,,
951,951,49,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",Repair of computers and communication equipment,,,,,,,
952,952,49,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods",Repair of personal and household goods,,x,"Repair, household goods",,,,1
96,96,48,Other service activities,Other personal service activities,,x,Other service activies,,,,1
960,960,48,Other service activities,Other personal service activities,,,,,,,
97,97,45,Private households with employed persons,Activities of households as employers of domestic personnel,,,,,,,
970,970,45,Private households with employed persons,Activities of households as employers of domestic personnel,,,,,,,
98,98,45,Private households with employed persons,Undifferentiated goods- and services-producing activities of private households for own use,,,,,,,
981,981,45,Private households with employed persons,Undifferentiated goods-producing activities of private households for own use,,,,,,,
982,982,45,Private households with employed persons,Undifferentiated service-producing activities of private households for own use,,,,,,,
99,99,48,Other service activities,Activities of extraterritorial organisations and bodies,,,,,,,
990,990,48,Other service activities,Activities of extraterritorial organisations and bodies,,,,,,,